fastq	ends	sample_name	ERCC_mix	old.celltype	project	stranded	kit	yield.nuclei	intact.protocol	driver	celltype
150415_SN651_0372_AH3N2YBCXX/Sample_H_L_M1_1.fastq.gz	single	Mi1_d1-rep1-2015	1	Mi1_d1	opticlobe_2015	no	ovation	190	201505B	Mi1_d1	Mi1
150415_SN651_0372_AH3N2YBCXX/Sample_H_L_M2_1.fastq.gz	single	Mi1_d1-rep2-2015	1	Mi1_d1	opticlobe_2015	no	ovation	153	201505B	Mi1_d1	Mi1
150415_SN651_0372_AH3N2YBCXX/Sample_H_L_M3_1.fastq.gz	single	Tm3_d1-rep1-2015	1	Tm3_d1	opticlobe_2015	no	ovation	72	201505B	Tm3_d1	Tm3
150415_SN651_0372_AH3N2YBCXX/Sample_H_L_M4_1.fastq.gz	single	Tm3_d1-rep2-2015	1	Tm3_d1	opticlobe_2015	no	ovation	81	201505B	Tm3_d1	Tm3
150415_SN651_0372_AH3N2YBCXX/Sample_H_L_M5_1.fastq.gz	single	Tm1_d1-rep1-2015	1	Tm1_d1	opticlobe_2015	no	ovation	216	201505B	Tm1_d1	Tm1
150415_SN651_0372_AH3N2YBCXX/Sample_H_L_M6_1.fastq.gz	single	Tm1_d1-rep2-2015	1	Tm1_d1	opticlobe_2015	no	ovation	216	201505B	Tm1_d1	Tm1
150415_SN651_0372_AH3N2YBCXX/Sample_H_L_M7_1.fastq.gz	single	Tm4_d1-rep1-2015	1	Tm4_d1	opticlobe_2015	no	ovation	18	201505B	Tm4_d1	Tm4
150415_SN651_0372_AH3N2YBCXX/Sample_H_L_M8_1.fastq.gz	single	Tm4_d1-rep2-2015	1	Tm4_d1	opticlobe_2015	no	ovation	27	201505B	Tm4_d1	Tm4
150415_SN651_0373_BH3N2LBCXX/Sample_H_L_M10_1.fastq.gz	single	T4T5_d1-rep2-2015	1	T4T5_d1	opticlobe_2015	no	ovation	315	201505B	T4T5_d1	T4T5
150415_SN651_0373_BH3N2LBCXX/Sample_H_L_M11_1.fastq.gz	single	T4_d1-rep1-2015	1	T4_d1	opticlobe_2015	no	ovation	36	201505B	T4_d1	T4
150415_SN651_0373_BH3N2LBCXX/Sample_H_L_M12_1.fastq.gz	single	T4_d1-rep2-2015	1	T4_d1	opticlobe_2015	no	ovation	27	201505B	T4_d1	T4
150415_SN651_0373_BH3N2LBCXX/Sample_H_L_M13_1.fastq.gz	single	Mi4_d1-rep1-2015	1	Mi4_d1	opticlobe_2015	no	ovation	23	201505B	Mi4_d1	Mi4
150415_SN651_0373_BH3N2LBCXX/Sample_H_L_M14_1.fastq.gz	single	Mi4_d1-rep2-2015	1	Mi4_d1	opticlobe_2015	no	ovation	36	201505B	Mi4_d1	Mi4
150415_SN651_0373_BH3N2LBCXX/Sample_H_L_M15_1.fastq.gz	single	Mi9_d1-rep1-2015	1	Mi9_d1	opticlobe_2015	no	ovation	14	201505B	Mi9_d1	Mi9
150415_SN651_0373_BH3N2LBCXX/Sample_H_L_M16_1.fastq.gz	single	Mi9_d1-rep2-2015	1	Mi9_d1	opticlobe_2015	no	ovation	14	201505B	Mi9_d1	Mi9
150415_SN651_0373_BH3N2LBCXX/Sample_H_L_M9_1.fastq.gz	single	T4T5_d1-rep1-2015	1	T4T5_d1	opticlobe_2015	no	ovation	234	201505B	T4T5_d1	T4T5
150420_SN651_0376_AH3FFYBCXX/Sample_L_G_M17_1.fastq.gz	single	Tm2_d1-rep1-2015	1	Tm2_d1	opticlobe_2015	no	ovation	68	201505B	Tm2_d1	Tm2
150420_SN651_0376_AH3FFYBCXX/Sample_L_G_M18_1.fastq.gz	single	Tm2_d1-rep2-2015	1	Tm2_d1	opticlobe_2015	no	ovation	23	201505B	Tm2_d1	Tm2
150420_SN651_0376_AH3FFYBCXX/Sample_L_G_M19_1.fastq.gz	single	Tm9_d1-rep1-2015	1	Tm9_d1	opticlobe_2015	no	ovation	72	201505B	Tm9_d1	Tm9
150420_SN651_0376_AH3FFYBCXX/Sample_L_G_M20_1.fastq.gz	single	Tm9_d1-rep2-2015	1	Tm9_d1	opticlobe_2015	no	ovation	81	201505B	Tm9_d1	Tm9
150506_SN651_0391_AH57JGBCXX/Sample_L_G_L1_1.fastq.gz	single	L1_d1-rep1-2015	1	L1_d1	opticlobe_2015	no	ovation	54	201505B	L1_d1	L1
150506_SN651_0391_AH57JGBCXX/Sample_L_G_L2_1.fastq.gz	single	L1_d1-rep2-2015	1	L1_d1	opticlobe_2015	no	ovation	59	201505B	L1_d1	L1
150506_SN651_0391_AH57JGBCXX/Sample_L_G_L3_1.fastq.gz	single	L1_d2-rep1-2015	1	L1_d2	opticlobe_2015	no	ovation	54	201505B	L1_d2	L1
150506_SN651_0391_AH57JGBCXX/Sample_L_G_L4_1.fastq.gz	single	L1_d2-rep2-2015	1	L1_d2	opticlobe_2015	no	ovation	54	201505B	L1_d2	L1
150506_SN651_0391_AH57JGBCXX/Sample_L_G_L5_1.fastq.gz	single	L2_d1-rep1-2015	1	L2_d1	opticlobe_2015	no	ovation	95	201505B	L2_d1	L2
150506_SN651_0391_AH57JGBCXX/Sample_L_G_L6_1.fastq.gz	single	L2_d1-rep2-2015	1	L2_d1	opticlobe_2015	no	ovation	90	201505B	L2_d1	L2
150506_SN651_0391_AH57JGBCXX/Sample_L_G_L7_1.fastq.gz	single	L3_d1-rep1-2015	1	L3_d1	opticlobe_2015	no	ovation	95	201505B	L3_d1	L3
150506_SN651_0391_AH57JGBCXX/Sample_L_G_L8_1.fastq.gz	single	L3_d1-rep2-2015	1	L3_d1	opticlobe_2015	no	ovation	50	201505B	L3_d1	L3
150506_SN651_0392_BH3WVKBCXX/Sample_L_G_L10_1.fastq.gz	single	L4_d1-rep2-2015	1	L4_d1	opticlobe_2015	no	ovation	171	201505B	L4_d1	L4
150506_SN651_0392_BH3WVKBCXX/Sample_L_G_L11_1.fastq.gz	single	L5_d1-rep1-2015	1	L5_d1	opticlobe_2015	no	ovation	90	201505B	L5_d1	L5
150506_SN651_0392_BH3WVKBCXX/Sample_L_G_L12_1.fastq.gz	single	L5_d1-rep2-2015	1	L5_d1	opticlobe_2015	no	ovation	90	201505B	L5_d1	L5
150506_SN651_0392_BH3WVKBCXX/Sample_L_G_L13_1.fastq.gz	single	C2_d1-rep1-2015	1	C2_d1	opticlobe_2015	no	ovation	162	201505B	C2_d1	C2
150506_SN651_0392_BH3WVKBCXX/Sample_L_G_L14_1.fastq.gz	single	C2_d1-rep2-2015	1	C2_d1	opticlobe_2015	no	ovation	135	201505B	C2_d1	C2
150506_SN651_0392_BH3WVKBCXX/Sample_L_G_L15_1.fastq.gz	single	C3_d1-rep1-2015	1	C3_d1	opticlobe_2015	no	ovation	180	201505B	C3_d1	C3
150506_SN651_0392_BH3WVKBCXX/Sample_L_G_L16_1.fastq.gz	single	C3_d1-rep2-2015	1	C3_d1	opticlobe_2015	no	ovation	110	201505B	C3_d1	C3
150506_SN651_0392_BH3WVKBCXX/Sample_L_G_L9_1.fastq.gz	single	L4_d1-rep1-2015	1	L4_d1	opticlobe_2015	no	ovation	171	201505B	L4_d1	L4
150507_SN651_0393_AH572MBCXX/Sample_L_G_L17_1.fastq.gz	single	Lawf1_d1-rep1-2015	1	Lawf1_d1	opticlobe_2015	no	ovation	45	201505B	Lawf1_d1	Lawf1
150507_SN651_0393_AH572MBCXX/Sample_L_G_L18_1.fastq.gz	single	Lawf1_d1-rep2-2015	1	Lawf1_d1	opticlobe_2015	no	ovation	54	201505B	Lawf1_d1	Lawf1
150507_SN651_0393_AH572MBCXX/Sample_L_G_L19_1.fastq.gz	single	Lawf2_d1-rep1-2015	1	Lawf2_d1	opticlobe_2015	no	ovation	45	201505B	Lawf2_d1	Lawf2
150507_SN651_0393_AH572MBCXX/Sample_L_G_L20_1.fastq.gz	single	Lawf2_d1-rep2-2015	1	Lawf2_d1	opticlobe_2015	no	ovation	23	201505B	Lawf2_d1	Lawf2
150507_SN651_0393_AH572MBCXX/Sample_L_G_L21_1.fastq.gz	single	T1_d1-rep1-2015	1	T1_d1	opticlobe_2015	no	ovation	180	201505B	T1_d1	T1
150507_SN651_0393_AH572MBCXX/Sample_L_G_L22_1.fastq.gz	single	T1_d1-rep2-2015	1	T1_d1	opticlobe_2015	no	ovation	144	201505B	T1_d1	T1
150507_SN651_0393_AH572MBCXX/Sample_L_G_L23_1.fastq.gz	single	Lai_d1-rep1-2015	1	Lai_d1	opticlobe_2015	no	ovation	36	201505B	Lai_d1	Lai
150507_SN651_0393_AH572MBCXX/Sample_L_G_L24_1.fastq.gz	single	Lai_d1-rep2-2015	1	Lai_d1	opticlobe_2015	no	ovation	45	201505B	Lai_d1	Lai
150507_SN651_0394_BH53WHBCXX/Sample_L_G_L25_1.fastq.gz	single	L1L2_d1-rep1-2015	1	L1L2_d1	opticlobe_2015	no	ovation	81	201505B	L1L2_d1	L1L2
150507_SN651_0394_BH53WHBCXX/Sample_L_G_L26_1.fastq.gz	single	L1L2_d1-rep2-2015	1	L1L2_d1	opticlobe_2015	no	ovation	95	201505B	L1L2_d1	L1L2
150507_SN651_0394_BH53WHBCXX/Sample_L_G_L27_1.fastq.gz	single	L1L2_d2-rep1-2015	1	L1L2_d2	opticlobe_2015	no	ovation	112	201505B	L1L2_d2	L1L2
150507_SN651_0394_BH53WHBCXX/Sample_L_G_L28_1.fastq.gz	single	L1L2_d2-rep2-2015	1	L1L2_d2	opticlobe_2015	no	ovation	110	201505B	L1L2_d2	L1L2
150507_SN651_0394_BH53WHBCXX/Sample_L_G_L29_1.fastq.gz	single	C2C3_d1-rep1-2015	1	C2C3_d1	opticlobe_2015	no	ovation	200	201505B	C2C3_d1	C2C3
150507_SN651_0394_BH53WHBCXX/Sample_L_G_L30_1.fastq.gz	single	C2C3_d1-rep2-2015	1	C2C3_d1	opticlobe_2015	no	ovation	200	201505B	C2C3_d1	C2C3
151109_SN651_0481_AHFFKGBCXX/Sample_LH_1_1.fastq.gz	single	LC4_intactC-rep1-201511	1	LC4_intactC	opticlobe_201511	no	ovation	unk	201511C	LC4	LC4
151109_SN651_0481_AHFFKGBCXX/Sample_LH_2_1.fastq.gz	single	LC4_intactC-rep2-201511	1	LC4_intactC	opticlobe_201511	no	ovation	unk	201511C	LC4	LC4
151109_SN651_0481_AHFFKGBCXX/Sample_LH_3_1.fastq.gz	single	Rh1_intactC-rep1-201511	1	Rh1_intactC	opticlobe_201511	no	ovation	unk	201511C	Rh1	Rh1
151109_SN651_0481_AHFFKGBCXX/Sample_LH_4_1.fastq.gz	single	Rh1_intactC-rep2-201511	1	Rh1_intactC	opticlobe_201511	no	ovation	unk	201511C	Rh1	Rh1
151109_SN651_0481_AHFFKGBCXX/Sample_LH_41_1.fastq.gz	single	Tm5_AJ308_intactC-rep1-201511	1	Tm5_AJ308_intactC	opticlobe_201511	no	ovation	10	201511C	Tm5_AJ308	Tm5
151109_SN651_0481_AHFFKGBCXX/Sample_LH_42_1.fastq.gz	single	Tm5_AJ308_intactC-rep2-201511	1	Tm5_AJ308_intactC	opticlobe_201511	no	ovation	11	201511C	Tm5_AJ308	Tm5
151109_SN651_0481_AHFFKGBCXX/Sample_LH_43_1.fastq.gz	single	Pm4_AJ317_intactC-rep1-201511	1	Pm4_AJ317_intactC	opticlobe_201511	no	ovation	2.9	201511C	Pm4_AJ317	Pm4
151109_SN651_0481_AHFFKGBCXX/Sample_LH_44_1.fastq.gz	single	Pm4_AJ317_intactC-rep2-201511	1	Pm4_AJ317_intactC	opticlobe_201511	no	ovation	2	201511C	Pm4_AJ317	Pm4
151110_SN651_0484_AHFC7TBCXX/Sample_LH_45_1.fastq.gz	single	Dm8_AJ323_intactC-rep1-201511	1	Dm8_AJ323_intactC	opticlobe_201511	no	ovation	19	201511C	Dm8_AJ323	Dm8
151110_SN651_0484_AHFC7TBCXX/Sample_LH_46_1.fastq.gz	single	Dm8_AJ323_intactC-rep2-201511	1	Dm8_AJ323_intactC	opticlobe_201511	no	ovation	38	201511C	Dm8_AJ323	Dm8
151110_SN651_0484_AHFC7TBCXX/Sample_LH_47_1.fastq.gz	single	Tm20_AJ355_intactC-rep1-201511	1	Tm20_AJ355_intactC	opticlobe_201511	no	ovation	33	201511C	Tm20_AJ355	Tm20
